descriptor;order_num;color_code
sarro di bufala cheese_5;393;#D3D3D3
stilton cheese_5;394;#D3D3D3
string cheese_5;395;#D3D3D3
tomme brulee cheese_5;396;#D3D3D3
washed cheese_5;397;#D3D3D3
wine cheese_5;398;#D3D3D3
yogurt_cow_5;399;#D3D3D3
honey_5;400;#D3D3D3
tarantula_5;401;#D3D3D3
snail_5;402;#D3D3D3
cricket_5;403;#D3D3D3
ant_5;404;#D3D3D3
grasshopper_5;405;#D3D3D3
insect_5;406;#D3D3D3
silkworm_5;407;#D3D3D3
worm_5;408;#D3D3D3
yeast_5;409;#D3D3D3
mushroom_5;410;#D3D3D3
truffle black_5;411;#D3D3D3
truffle hooked_5;412;#D3D3D3
algae_5;413;#D3D3D3
dulse_5;414;#D3D3D3
kelp_5;415;#D3D3D3
nori_5;416;#D3D3D3
seaweed_5;417;#D3D3D3
calcium carbonate_5;418;#D3D3D3
calcium hydroxide_5;419;#D3D3D3
salt_5;420;#D3D3D3
supplement_5;421;#D3D3D3
water_5;422;#D3D3D3
complex_5;423;#D3D3D3
unmatched_1;999;#D3D3D3
unmatched_2;999;#D3D3D3
unmatched_3;999;#D3D3D3
unmatched_4;999;#D3D3D3
unmatched_5;999;#D3D3D3
unmatched_6;999;#D3D3D3
